"","iso2c","value","escalado","year"
"336","XS",32404.4834935563,0.508615017342139,2000
"337","XS",32697.1761892321,0.562161751541224,2001
"338","XS",33006.1645033756,0.618689691501815,2002
"339","XS",33453.9488805385,0.700609709926201,2003
"340","XS",34279.408084163,0.85162353849686,2004
"341","XS",34952.4378230584,0.974751122714505,2005
"342","XS",35740.4851121478,1.11892061976242,2006
"343","XS",36416.323759541,1.24256208040727,2007
"344","XS",36227.3163166582,1.20798406921937,2008
"345","XS",34756.4044760259,0.93888775583591,2009
"346","XS",35535.7210547173,1.08146001101221,2010
"347","XS",35919.6964333678,1.15170647716374,2011
"348","XS",36224.6548456256,1.20749716577399,2012
"349","XS",36491.2520518365,1.25626985450212,2013
"350","XS",36988.4690412751,1.34723333383073,2014
"351","ZJ",4325.74516328612,-0.657383081123217,1980
"352","ZJ",4296.37849961511,-0.701444932848405,1981
"353","ZJ",4170.74673848401,-0.889943295922491,1982
"354","ZJ",3972.73972679691,-1.1870337549288,1983
"355","ZJ",4043.3087678397,-1.08115170248832,1984
"356","ZJ",4086.70385068966,-1.0160415582936,1985
"357","ZJ",4141.52311962522,-0.93379052267779,1986
"358","ZJ",4193.66710274423,-0.855553495881363,1987
"359","ZJ",4151.26304895204,-0.919176696380737,1988
"360","ZJ",4142.3305953083,-0.932578983150585,1989
"361","ZJ",4110.08977896877,-0.980953224261731,1990
"362","ZJ",4186.38621950653,-0.866477760252757,1991
"363","ZJ",4242.61291702593,-0.782115013539299,1992
"364","ZJ",4333.15724573978,-0.646261964958755,1993
"365","ZJ",4460.4279446809,-0.455304533480408,1994
"366","ZJ",4422.74843257128,-0.511839014014211,1995
"367","ZJ",4516.58969074357,-0.371039240174931,1996
"368","ZJ",4682.61058227694,-0.121940875172438,1997
"369","ZJ",4728.97027141552,-0.0523826246427269,1998
"370","ZJ",4679.01291166907,-0.127338833573703,1999
"371","ZJ",4788.32349292544,0.0366711703296981,2000
"372","ZJ",4759.67254906345,-0.00631681272402221,2001
"373","ZJ",4710.83798715274,-0.0795883715936218,2002
"374","ZJ",4735.29161471161,-0.0428980575793159,2003
"375","ZJ",4943.66301378684,0.269743166928798,2004
"376","ZJ",5095.05151703861,0.496887041967023,2005
"377","ZJ",5299.64973361283,0.803866969374653,2006
"378","ZJ",5509.59516506728,1.11886987793652,2007
"379","ZJ",5632.07570275014,1.30264013359314,2008
"380","ZJ",5476.40214059705,1.06906694019384,2009
"381","ZJ",5717.61885060939,1.43098939176239,2010
"382","ZJ",5907.55441276182,1.7159694177761,2011
"383","ZJ",6020.90277373811,1.88603772143433,2012
"384","ZJ",6118.86283162119,2.03301735772498,2013
"385","ZJ",6133.37746023324,2.05479516064175,2014
"386","XJ",4038.11200282934,-0.701863603821195,1980
"387","XJ",4045.36081581122,-0.689632266893823,1981
"388","XJ",3960.69328528124,-0.832496635902847,1982
"389","XJ",3750.01444332446,-1.18798710115327,1983
"390","XJ",3824.24859855176,-1.06272756329878,1984
"391","XJ",3914.34311711344,-0.910705926847151,1985
"392","XJ",3934.51167702212,-0.876674361651636,1986
"393","XJ",3975.78967661365,-0.807023630979734,1987
"394","XJ",3919.88577150353,-0.901353488939506,1988
"395","XJ",3960.38733643315,-0.833012880900875,1989
"396","XJ",3921.36021594147,-0.898865574470445,1990
"397","XJ",3945.5586036743,-0.858034250197177,1991
"398","XJ",3941.17159237842,-0.865436705385113,1992
"399","XJ",4023.95554217414,-0.725750609929045,1993
"400","XJ",4156.2362363103,-0.5025458255029,1994
"401","XJ",4103.67466203975,-0.591235977386144,1995
"402","XJ",4186.36800720538,-0.451702764306898,1996
"403","XJ",4322.62437001809,-0.221789606631777,1997
"404","XJ",4354.7642586039,-0.16755813355006,1998
"405","XJ",4343.22422529208,-0.187030292087299,1999
"406","XJ",4468.62350713066,0.0245630916090636,2000
"407","XJ",4437.28028199712,-0.0283241256438997,2001
"408","XJ",4458.932496426,0.00821089471948191,2002
"409","XJ",4474.1601014501,0.0339053040127393,2003
"410","XJ",4634.55047230612,0.304541154427144,2004
"411","XJ",4740.88734238287,0.483969439990878,2005
"412","XJ",4913.85351151725,0.775825154437888,2006
"413","XJ",5098.56765165944,1.08750389259495,2007
"414","XJ",5216.19375963951,1.28598115525244,2008
"415","XJ",5067.69356922423,1.03540828666161,2009
"416","XJ",5310.06645300146,1.44437792223484,2010
"417","XJ",5472.68240921428,1.7187691301716,2011
"418","XJ",5583.94476476251,1.9065084692117,2012
"419","XJ",5678.41261393069,2.06590947664125,2013
"420","XJ",5714.18955323423,2.12627795351403,2014
"421","XO",922.780354476336,-1.02840399589507,1980
"422","XO",932.881628747993,-1.00756040951706,1981
"423","XO",939.836453463885,-0.993209399356258,1982
"424","XO",934.218884730268,-1.00480103383569,1983
"425","XO",958.122217326596,-0.955477437198797,1984
"426","XO",983.223304702819,-0.903682320183088,1985
"427","XO",994.198052487776,-0.881036355200781,1986
"428","XO",1016.87002900821,-0.834253613909436,1987
"429","XO",1035.87030994223,-0.795047273580086,1988
"430","XO",1051.67011233183,-0.762444996183546,1989
"431","XO",1067.20829707559,-0.730382556618592,1990
"432","XO",1068.89412566588,-0.726903914924958,1991
"433","XO",1085.37974572437,-0.69288647945661,1992
"434","XO",1116.31557013169,-0.629051609630516,1993
"435","XO",1147.55808977669,-0.564583886116226,1994
"436","XO",1178.21588724663,-0.50132271405626,1995
"437","XO",1227.97504403851,-0.398646630346843,1996
"438","XO",1269.42854984519,-0.313108934238816,1997
"439","XO",1285.54510532719,-0.279853049162255,1998
"440","XO",1309.7499699937,-0.229907252832377,1999
"441","XO",1359.47364463028,-0.127304385169667,2000
"442","XO",1384.84899110477,-0.0749433451772166,2001
"443","XO",1429.8665378703,0.0179486107581069,2002
"444","XO",1487.39134751896,0.136648816944438,2003
"445","XO",1577.95502692671,0.323523445202215,2004
"446","XO",1665.14050680307,0.503427290186415,2005
"447","XO",1772.83344173491,0.725647470649338,2006
"448","XO",1897.63188852335,0.983164209183505,2007
"449","XO",1975.42521263402,1.14368770623208,2008
"450","XO",2015.54848198755,1.22648051118393,2009
"451","XO",2145.80107661623,1.49525167154342,2010
"452","XO",2245.60745465938,1.70119824876445,2011
"453","XO",2331.49590150819,1.87842571656911,2012
"454","XO",2421.15042567091,2.06342433835769,2013
"455","XO",2504.77653320123,2.23598355701545,2014
"456","XN",528.242491373096,-1.00963115006122,1980
"457","XN",534.076654392002,-0.982680092217493,1981
"458","XN",537.019811911456,-0.969084104533747,1982
"459","XN",547.14946960809,-0.922289904640042,1983
"460","XN",549.212383060155,-0.912760225816697,1984
"461","XN",557.129362737445,-0.876187545804359,1985
"462","XN",562.10050529503,-0.853223231954245,1986
"463","XN",565.214253700421,-0.838839195527329,1987
"464","XN",587.596816527175,-0.735442402623204,1988
"465","XN",603.275438299332,-0.66301462833544,1989
"466","XN",610.732124770887,-0.62856828397273,1990
"467","XN",605.159583720856,-0.65431077277348,1991
"468","XN",605.876245873329,-0.65100013454429,1992
"469","XN",606.451351542284,-0.648343419930723,1993
"470","XN",612.437933612792,-0.620688258574134,1994
"471","XN",629.23921202335,-0.543074344663234,1995
"472","XN",653.27499544515,-0.432040459044842,1996
"473","XN",665.171398872413,-0.377084734314234,1997
"474","XN",662.828347207839,-0.387908518417994,1998
"475","XN",681.894637654096,-0.299831326365388,1999
"476","XN",698.196712249138,-0.224523496611577,2000
"477","XN",716.379902431687,-0.140525807687677,2001
"478","XN",731.334013477734,-0.0714449283057493,2002
"479","XN",764.333531104032,0.0809971453009392,2003
"480","XN",811.038999325231,0.296754190753534,2004
"481","XN",852.183885686359,0.486823993174023,2005
"482","XN",900.997892384228,0.712321483359873,2006
"483","XN",955.07110245859,0.962113991349044,2007
"484","XN",982.923749164233,1.09077996966198,2008
"485","XN",1016.67883086762,1.24671238988399,2009
"486","XN",1076.36672692128,1.52244207619884,2010
"487","XN",1117.85196508501,1.71408414204245,2011
"488","XN",1154.97131816714,1.88555789565481,2012
"489","XN",1203.07644264482,2.10778068719772,2013
"490","XN",1252.50757452119,2.33612900214262,2014
"491","ZQ",3764.00124576273,-0.236231297007296,1980
"492","ZQ",3739.11294287064,-0.271557621308394,1981
"493","ZQ",3641.21876075258,-0.410508100964941,1982
"494","ZQ",3527.05456506471,-0.572552151052642,1983
"495","ZQ",3405.18951175221,-0.745526757354794,1984
"496","ZQ",3304.61994963156,-0.888274657109045,1985
"497","ZQ",3163.32331885084,-1.08883034076711,1986
"498","ZQ",3084.4039532715,-1.20084806709343,1987
"499","ZQ",3066.98073019313,-1.22557849694659,1988
"500","ZQ",3053.47755832372,-1.24474482703428,1989
"501","ZQ",3255.63163102413,-0.957808415099494,1990
"502","ZQ",3291.62623829158,-0.906717861640153,1991
"503","ZQ",3389.99166900269,-0.767098494245591,1992
"504","ZQ",3412.9990264782,-0.734441973830554,1993
"505","ZQ",3442.44714112187,-0.692643477064074,1994
"506","ZQ",3452.40137023151,-0.678514497389597,1995
"507","ZQ",3555.6925236748,-0.531903585436583,1996
"508","ZQ",3612.16803892745,-0.451742540485591,1997
"509","ZQ",3691.40388083899,-0.339275609342319,1998
"510","ZQ",3703.2197453683,-0.322504234288341,1999
"511","ZQ",3831.50869751861,-0.140411580258876,2000
"512","ZQ",3836.11130817012,-0.133878659263342,2001
"513","ZQ",3855.24167599847,-0.10672511726276,2002
"514","ZQ",3981.8715079684,0.0730125904370693,2003
"515","ZQ",4221.52126050684,0.41317017022695,2004
"516","ZQ",4375.47468372879,0.631690837529312,2005
"517","ZQ",4577.58577181486,0.918566237331902,2006
"518","ZQ",4758.17987487976,1.17490054342732,2007
"519","ZQ",4899.4603223381,1.37543325656397,2008
"520","ZQ",4870.52256946298,1.33435916456807,2009
"521","ZQ",5013.6875445409,1.53756676615061,2010
"522","ZQ",5095.28084168556,1.6533798566705,2011
"523","ZQ",5214.42733075993,1.82249574740149,2012
"524","ZQ",5224.29506110373,1.83650195118936,2013
"525","ZQ",5252.99693706266,1.87724124074925,2014
"526","XQ",1724.98937870619,-0.826172720060552,1980
"527","XQ",1662.48494753134,-1.01185330055393,1981
"528","XQ",1815.267920149,-0.557984182606241,1982
"529","XQ",1861.63396226074,-0.420245570276424,1983
"530","XQ",1794.87006920797,-0.618579643317703,1984
"531","XQ",1801.72246871717,-0.598223366255017,1985
"532","XQ",1705.71645748704,-0.883426376041584,1986
"533","XQ",1674.05189578577,-0.977491614093475,1987
"534","XQ",1627.658967412,-1.11531009686843,1988
"535","XQ",1606.17325699238,-1.17913723852928,1989
"536","XQ",1724.92341902398,-0.826368665081597,1990
